Name,Season,Month,Max. sustained wind speed (km/h)
Hurricane #3,1853,"August, September",240
"""1856 Last Island Hurricane""",1856,August,240
Hurricane #6,1866,"September, October",220
Hurricane #7,1878,"September, October",220
Hurricane #2,1880,August,240
Hurricane #8,1880,"September, October",220
Hurricane #6,1882,October,220
Indianola Hurricane of 1886,1886,August,250
Hurricane #10,1893,"September, October",207
Hurricane #6,1894,October,215
Hurricane #7,1898,"September, October",215
Hurricane #3,1899,"August, September",240
Galveston Hurricane of 1900,1900,"August, September",230
Hurricane #4,1906,"August, September",215
1910 Cuba hurricane,1910,October,240
1915 Galveston hurricane,1915,August,230
1915 New Orleans hurricane,1915,"September, October",230
1916 Texas hurricane,1916,August,215
1917 Nueva Gerona hurricane,1917,September,240
1919 Florida Keys hurricane,1919,September,240
1921 Tampa Bay hurricane,1921,October,220
1926 Nassau hurricane,1926,"July, August",220
Hurricane #4,1926,September,220
1926 Miami hurricane,1926,September,201
1926 Havana–Bermuda hurricane,1926,October,204
1929 Bahamas hurricane,1929,"September, October",250
1930 Dominican Republic hurricane,1930,"August, September",250
1931 Belize hurricane,1931,September,200
1932 Freeport hurricane,1932,August,240
1932 San Ciprian hurricane,1932,September,230
1933 Chesapeake–Potomac hurricane,1933,August,220
1933 Treasure Coast hurricane,1933,"August, September",220
1933 Outer Banks hurricane,1933,September,208
Hurricane #2,1935,August,215
1935 Cuba hurricane,1935,"September, October",220
Hurricane #5,1939,October,220
Hurricane #4,1941,September,215
Hurricane #3,1943,August,220
1944 Great Atlantic hurricane,1944,September,230
1944 Cuba–Florida hurricane,1944,October,230
1945 Homestead hurricane,1945,September,215
1947 Fort Lauderdale hurricane,1947,September,230
1948 Bermuda–Newfoundland hurricane,1948,September,215
September 1948 Florida hurricane,1948,September,215
1949 Florida hurricane,1949,August,240
Hurricane Dog,1950,September,230
Hurricane Fox,1950,September,220
Hurricane King,1950,October,215
Hurricane Charlie,1951,August,215
Hurricane Easy,1951,September,252
Hurricane Fox,1952,October,230
Hurricane Hazel,1954,October,215
Hurricane Connie,1955,August,220
Hurricane Ione,1955,September,220
Hurricane Carrie,1957,September,220
Hurricane Cleo,1958,August,220
Hurricane Daisy,1958,August,215
Hurricane Helene,1958,September,259
Hurricane Gracie,1959,September,260
Hurricane Donna,1960,September,230
Hurricane Betsy,1961,September,220
Hurricane Esther,1961,September,230
Hurricane Flora,1963,"September, October",230
Hurricane Cleo,1964,"August, September",250
Hurricane Dora,1964,"August, September",215
Hurricane Gladys,1964,September,230
Hurricane Hilda,1964,"September, October",240
Hurricane Betsy,1965,"August, September",250
Hurricane Inez,1966,"September, October",240
Hurricane Carmen,1974,"August, September",240
Hurricane Gladys,1975,"September, October",200
Hurricane Ella,1978,"August, September",220
Hurricane Greta,1978,September,215
Hurricane Frederic,1979,"August, September",215
Hurricane Harvey,1981,September,215
Hurricane Debby,1982,September,215
Hurricane Diana,1984,September,215
Hurricane Gloria,1985,"September, October",230
Hurricane Helene,1988,September,230
Hurricane Joan,1988,"October, November",230
Hurricane Gabrielle,1989,"August, September",230
Hurricane Claudette,1991,September,215
Hurricane Felix,1995,August,220
Hurricane Luis,1995,"August, September",220
Hurricane Opal,1995,"September, October",240
Hurricane Edouard,1996,"August, September",230
Hurricane Hortense,1996,September,220
Hurricane Georges,1998,"September, October",250
Hurricane Bret,1999,August,230
Hurricane Cindy,1999,August,220
Hurricane Floyd,1999,September,250
Hurricane Gert,1999,September,240
Hurricane Lenny,1999,November,250
Hurricane Isaac,2000,"September, October",220
Hurricane Keith,2000,"September, October",220
Hurricane Iris,2001,October 8–9,230
Hurricane Michelle,2001,November 3–4,220
Hurricane Lili,2002,October 2–3,230
Hurricane Fabian,2003,August 31–September 5,230
Hurricane Charley,2004,August 13,240
Hurricane Frances,2004,August 28–September 2,230
Hurricane Karl,2004,September 20–21,230
Hurricane Dennis,2005,July 8–10,240
Hurricane Gustav,2008,August 30–31,250
Hurricane Ike,2008,September 4–8,230
Hurricane Omar,2008,October 16,215
Hurricane Paloma,2008,November 8,230
Hurricane Bill,2009,August 19–20,215
Hurricane Danielle,2010,August 27,215
Hurricane Earl,2010,August 30–September 2,230
Hurricane Igor,2010,September 12–17,250
Hurricane Julia,2010,September 15,220
Hurricane Katia,2011,September 6,220
Hurricane Ophelia,2011,October 2,199
Hurricane Gonzalo,2014,October 15–17,198
Hurricane Joaquin,2015,October 1–3,250
Hurricane Nicole,2016,October 12–13,220
Hurricane Harvey,2017,August 26,275
Hurricane Jose,2017,September 8–10,250
Hurricane Florence,2018,September 5–12,220
