Day,Precipitation
1,50.13
2,34.63
3,35.59
4,18.74
5,46.62
6,28.02
7,42.29
8,35.69
9,27.11
10,40.37
11,28.19
12,60.63
13,32.07
14,21.45
15,45.22
16,34.6
17,20.23
18,40.4
19,23.79
20,33.48
21,31.82
22,32.88
23,28.13
24,21.87
25,44.92
26,38.95
27,36.86
28,42.75
29,41.82
30,51.58
31,47.96
32,36.87
33,38.16
34,36.22
35,44.3
36,47.96
37,23.54
38,37.23
39,20.98
40,4.21
41,51.08
42,40.84
43,28.89
44,30.93
45,40.23
46,40.63
47,38.48
48,21.3
49,22.66
50,28.15
51,25.48
52,18.57
53,33.15
54,41.96
55,27.98
56,28.75
57,41.55
58,21.44
59,28.04
60,38.73
61,38.03
62,22.25
63,32.26
64,31.12
65,48.1
66,55.95
67,47.48
68,39.29
69,40.24
70,42.39
71,38.23
72,34.25
73,36.8
74,50.54
75,30.24
76,41.38
77,56.86
78,36.7
79,34.1
80,29.36
81,41.07
82,32.75
83,33.84
84,39.63
85,19.2
86,44.75
87,24.89
88,39.56
89,50.56
90,38.17
91,39.81
92,31.06
93,30.41
94,26.44
95,29.38
96,37.03
97,50.3
98,37.09
99,33.72
100,43.25
101,34.57
102,21.79
103,43.26
104,38.14
105,29.71
106,29.19
107,26.19
108,45.68
109,46.2
110,35.61
111,52.82
112,22.41
113,34.67
114,27.41
115,48.13
116,20.19
117,39.64
118,39.07
119,16.83
120,32.22
121,29.22
122,26.63
123,30.65
124,21.22
125,14.8
126,53.52
127,36.14
128,38.64
129,30.81
130,37.49
131,41.75
132,28.52
133,34.26
134,42.65
135,31.64
136,25.03
137,13.12
138,50.74
139,32.82
140,23.39
141,35.42
142,40.78
143,34.24
144,35.86
145,44.95
146,48.29
147,16.46
148,28.83
149,32.43
150,28.24
151,36.25
152,34.99
153,23.22
154,34.2
155,26.66
156,35.86
157,51.59
158,36.08
159,42.46
160,27.67
161,35.2
162,34.72
163,61.69
164,46.5
165,31.89
166,37.63
167,42.57
168,41.88
169,33.45
170,26.89
171,21.28
172,36.73
173,44.07
174,26.01
175,25.04
176,33.95
177,48.43
178,18.99
179,27.92
180,55.25
181,29.84
182,45.35
183,35.32
184,40.38
185,31.42
186,37.59
187,43.83
188,28.62
189,30.36
190,41.89
191,35.64
192,30.9
193,25.78
194,35.33
195,31.93
196,40.03
197,39.11
198,28.92
199,39.08
200,15.85
201,24.27
202,35.01
203,38.36
204,40.76
205,49.46
206,32.51
207,34.85
208,29.35
209,24.25
210,46.12
211,46.05
212,35.81
213,37.82
214,33.63
215,28.43
216,38.66
217,24.9
218,37.28
219,27.34
220,34.37
221,21.31
222,42.47
223,33.23
224,36.89
225,27.68
226,23.89
227,52.11
228,53.18
229,29.95
230,19.03
231,46.4
232,39.23
233,48.2
234,37.11
235,32.82
236,18.73
237,51.01
238,38.01
239,49.79
240,37.3
241,52.35
242,21.31
243,27.35
244,39.44
245,28.07
246,32.42
247,38.55
248,29.03
249,58.08
250,33.53
251,31.79
252,30.07
253,24.95
254,15.36
255,56.14
256,25.72
257,42.01
258,32.21
259,41.19
260,40.42
261,38.43
262,32.74
263,31.43
264,14.77
265,37.98
266,34.76
267,59.7
268,17.08
269,22.68
270,38.07
271,26.61
272,37.69
273,46.57
274,38.04
275,48.96
276,27.91
277,40.77
278,31.11
279,45.4
280,32.44
281,22.9
282,28.01
283,34.69
284,35.83
285,55.37
286,37.82
287,46.75
288,43.12
289,27.48
290,47.8
291,40.38
292,33.75
293,15.53
294,37.78
295,18.37
296,29.4
297,36.15
298,27.08
299,39.02
300,46.82
301,55.94
302,38.98
303,16.58
304,41.37
305,55.68
306,35.12
307,54.59
308,24.57
309,45.92
310,33.44
311,39.11
312,32.73
313,38.19
314,35.69
315,21.9
316,40.32
317,41.89
318,54.57
319,28.74
320,28.62
321,36.95
322,34.94
323,28.85
324,45.72
325,43.23
326,45.28
327,32.68
328,48.3
329,41.79
330,14.52
331,63.44
332,15.9
333,49.97
334,17.19
335,27.35
336,35.08
337,48.53
338,30.31
339,35.24
340,27.84
341,11.8
342,19.83
343,45.08
344,33.21
345,42.02
346,37.26
347,33.48
348,40.54
349,33.47
350,17.0
351,49.56
352,34.29
353,34.48
354,21.14
355,31.79
356,50.78
357,43.28
358,32.05
359,52.68
360,41.86
361,30.72
362,32.93
363,33.97
364,20.11
365,35.14
